Id,ActivityMinute,Calories,Date
1503960366,2016-04-20 00:00:00,0.94379997253418,2016-04-20
1503960366,2016-04-20 00:01:00,0.94379997253418,2016-04-20
1503960366,2016-04-20 00:02:00,0.94379997253418,2016-04-20
1503960366,2016-04-20 00:03:00,0.94379997253418,2016-04-20
1503960366,2016-04-20 00:04:00,0.94379997253418,2016-04-20
1503960366,2016-04-20 00:05:00,0.94379997253418,2016-04-20
1503960366,2016-04-20 00:06:00,0.94379997253418,2016-04-20
1503960366,2016-04-20 00:07:00,0.94379997253418,2016-04-20
1503960366,2016-04-20 00:08:00,0.94379997253418,2016-04-20
1503960366,2016-04-20 00:09:00,0.94379997253418,2016-04-20
1503960366,2016-04-20 00:10:00,0.786499977111816,2016-04-20
1503960366,2016-04-20 00:11:00,0.94379997253418,2016-04-20
1503960366,2016-04-20 00:12:00,0.94379997253418,2016-04-20
1503960366,2016-04-20 00:13:00,0.786499977111816,2016-04-20
1503960366,2016-04-20 00:14:00,0.94379997253418,2016-04-20
1503960366,2016-04-20 00:15:00,0.786499977111816,2016-04-20
1503960366,2016-04-20 00:16:00,0.786499977111816,2016-04-20
1503960366,2016-04-20 00:17:00,0.94379997253418,2016-04-20
1503960366,2016-04-20 00:18:00,0.786499977111816,2016-04-20
1503960366,2016-04-20 00:19:00,0.94379997253418,2016-04-20
1503960366,2016-04-20 00:20:00,0.94379997253418,2016-04-20
1503960366,2016-04-20 00:21:00,0.94379997253418,2016-04-20
1503960366,2016-04-20 00:22:00,0.786499977111816,2016-04-20
1503960366,2016-04-20 00:23:00,0.94379997253418,2016-04-20
1503960366,2016-04-20 00:24:00,0.786499977111816,2016-04-20
1503960366,2016-04-20 00:25:00,0.94379997253418,2016-04-20
1503960366,2016-04-20 00:26:00,0.786499977111816,2016-04-20
1503960366,2016-04-20 00:27:00,0.786499977111816,2016-04-20
1503960366,2016-04-20 00:28:00,0.94379997253418,2016-04-20
1503960366,2016-04-20 00:29:00,0.94379997253418,2016-04-20
1503960366,2016-04-20 00:30:00,0.94379997253418,2016-04-20
1503960366,2016-04-20 00:31:00,0.786499977111816,2016-04-20
1503960366,2016-04-20 00:32:00,0.94379997253418,2016-04-20
1503960366,2016-04-20 00:33:00,0.786499977111816,2016-04-20
1503960366,2016-04-20 00:34:00,0.94379997253418,2016-04-20
1503960366,2016-04-20 00:35:00,0.94379997253418,2016-04-20
1503960366,2016-04-20 00:36:00,0.94379997253418,2016-04-20
1503960366,2016-04-20 00:37:00,2.04489994049072,2016-04-20
1503960366,2016-04-20 00:38:00,2.04489994049072,2016-04-20
1503960366,2016-04-20 00:39:00,0.786499977111816,2016-04-20
1503960366,2016-04-20 00:40:00,0.786499977111816,2016-04-20
1503960366,2016-04-20 00:41:00,0.786499977111816,2016-04-20
1503960366,2016-04-20 00:42:00,0.786499977111816,2016-04-20
1503960366,2016-04-20 00:43:00,0.786499977111816,2016-04-20
1503960366,2016-04-20 00:44:00,0.786499977111816,2016-04-20
1503960366,2016-04-20 00:45:00,0.786499977111816,2016-04-20
1503960366,2016-04-20 00:46:00,0.786499977111816,2016-04-20
1503960366,2016-04-20 00:47:00,0.786499977111816,2016-04-20
1503960366,2016-04-20 00:48:00,0.786499977111816,2016-04-20
1503960366,2016-04-20 00:49:00,0.786499977111816,2016-04-20
1503960366,2016-04-20 00:50:00,0.786499977111816,2016-04-20
1503960366,2016-04-20 00:51:00,0.786499977111816,2016-04-20
1503960366,2016-04-20 00:52:00,0.786499977111816,2016-04-20
1503960366,2016-04-20 00:53:00,0.786499977111816,2016-04-20
1503960366,2016-04-20 00:54:00,0.786499977111816,2016-04-20
1503960366,2016-04-20 00:55:00,0.786499977111816,2016-04-20
1503960366,2016-04-20 00:56:00,0.786499977111816,2016-04-20
1503960366,2016-04-20 00:57:00,0.786499977111816,2016-04-20
1503960366,2016-04-20 00:58:00,0.786499977111816,2016-04-20
1503960366,2016-04-20 00:59:00,0.786499977111816,2016-04-20
1503960366,2016-04-20 01:00:00,0.786499977111816,2016-04-20
1503960366,2016-04-20 01:01:00,0.786499977111816,2016-04-20
1503960366,2016-04-20 01:02:00,0.786499977111816,2016-04-20
1503960366,2016-04-20 01:03:00,0.786499977111816,2016-04-20
1503960366,2016-04-20 01:04:00,0.786499977111816,2016-04-20
1503960366,2016-04-20 01:05:00,0.786499977111816,2016-04-20
1503960366,2016-04-20 01:06:00,0.786499977111816,2016-04-20
1503960366,2016-04-20 01:07:00,0.786499977111816,2016-04-20
1503960366,2016-04-20 01:08:00,0.786499977111816,2016-04-20
1503960366,2016-04-20 01:09:00,0.786499977111816,2016-04-20
1503960366,2016-04-20 01:10:00,0.786499977111816,2016-04-20
1503960366,2016-04-20 01:11:00,0.786499977111816,2016-04-20
1503960366,2016-04-20 01:12:00,0.786499977111816,2016-04-20
1503960366,2016-04-20 01:13:00,0.786499977111816,2016-04-20
1503960366,2016-04-20 01:14:00,0.786499977111816,2016-04-20
1503960366,2016-04-20 01:15:00,0.786499977111816,2016-04-20
1503960366,2016-04-20 01:16:00,0.786499977111816,2016-04-20
1503960366,2016-04-20 01:17:00,0.94379997253418,2016-04-20
1503960366,2016-04-20 01:18:00,0.94379997253418,2016-04-20
1503960366,2016-04-20 01:19:00,0.94379997253418,2016-04-20
1503960366,2016-04-20 01:20:00,0.94379997253418,2016-04-20
1503960366,2016-04-20 01:21:00,0.94379997253418,2016-04-20
1503960366,2016-04-20 01:22:00,0.94379997253418,2016-04-20
1503960366,2016-04-20 01:23:00,1.88759994506836,2016-04-20
1503960366,2016-04-20 01:24:00,0.786499977111816,2016-04-20
1503960366,2016-04-20 01:25:00,0.94379997253418,2016-04-20
1503960366,2016-04-20 01:26:00,0.786499977111816,2016-04-20
1503960366,2016-04-20 01:27:00,0.94379997253418,2016-04-20
1503960366,2016-04-20 01:28:00,0.94379997253418,2016-04-20
1503960366,2016-04-20 01:29:00,0.94379997253418,2016-04-20
1503960366,2016-04-20 01:30:00,0.94379997253418,2016-04-20
1503960366,2016-04-20 01:31:00,0.786499977111816,2016-04-20
1503960366,2016-04-20 01:32:00,0.786499977111816,2016-04-20
1503960366,2016-04-20 01:33:00,0.94379997253418,2016-04-20
1503960366,2016-04-20 01:34:00,0.786499977111816,2016-04-20
1503960366,2016-04-20 01:35:00,0.786499977111816,2016-04-20
1503960366,2016-04-20 01:36:00,0.786499977111816,2016-04-20
1503960366,2016-04-20 01:37:00,0.94379997253418,2016-04-20
1503960366,2016-04-20 01:38:00,2.51679992675781,2016-04-20
1503960366,2016-04-20 01:39:00,0.94379997253418,2016-04-20
1503960366,2016-04-20 01:40:00,0.94379997253418,2016-04-20
1503960366,2016-04-20 01:41:00,0.786499977111816,2016-04-20
1503960366,2016-04-20 01:42:00,0.786499977111816,2016-04-20
1503960366,2016-04-20 01:43:00,0.786499977111816,2016-04-20
1503960366,2016-04-20 01:44:00,0.786499977111816,2016-04-20
1503960366,2016-04-20 01:45:00,0.786499977111816,2016-04-20
1503960366,2016-04-20 01:46:00,0.786499977111816,2016-04-20
