Id,ActivityMinute,Calories,Date
1503960366,2016-04-29 00:00:00,3.30329990386963,2016-04-29
1503960366,2016-04-29 00:01:00,3.30329990386963,2016-04-29
1503960366,2016-04-29 00:02:00,2.04489994049072,2016-04-29
1503960366,2016-04-29 00:03:00,1.88759994506836,2016-04-29
1503960366,2016-04-29 00:04:00,0.94379997253418,2016-04-29
1503960366,2016-04-29 00:05:00,0.94379997253418,2016-04-29
1503960366,2016-04-29 00:06:00,1.88759994506836,2016-04-29
1503960366,2016-04-29 00:07:00,0.94379997253418,2016-04-29
1503960366,2016-04-29 00:08:00,2.04489994049072,2016-04-29
1503960366,2016-04-29 00:09:00,0.94379997253418,2016-04-29
1503960366,2016-04-29 00:10:00,0.94379997253418,2016-04-29
1503960366,2016-04-29 00:11:00,0.94379997253418,2016-04-29
1503960366,2016-04-29 00:12:00,0.94379997253418,2016-04-29
1503960366,2016-04-29 00:13:00,0.94379997253418,2016-04-29
1503960366,2016-04-29 00:14:00,0.94379997253418,2016-04-29
1503960366,2016-04-29 00:15:00,0.786499977111816,2016-04-29
1503960366,2016-04-29 00:16:00,0.786499977111816,2016-04-29
1503960366,2016-04-29 00:17:00,0.786499977111816,2016-04-29
1503960366,2016-04-29 00:18:00,0.786499977111816,2016-04-29
1503960366,2016-04-29 00:19:00,0.786499977111816,2016-04-29
1503960366,2016-04-29 00:20:00,0.786499977111816,2016-04-29
1503960366,2016-04-29 00:21:00,0.94379997253418,2016-04-29
1503960366,2016-04-29 00:22:00,0.94379997253418,2016-04-29
1503960366,2016-04-29 00:23:00,0.94379997253418,2016-04-29
1503960366,2016-04-29 00:24:00,0.94379997253418,2016-04-29
1503960366,2016-04-29 00:25:00,0.94379997253418,2016-04-29
1503960366,2016-04-29 00:26:00,0.786499977111816,2016-04-29
1503960366,2016-04-29 00:27:00,0.94379997253418,2016-04-29
1503960366,2016-04-29 00:28:00,1.88759994506836,2016-04-29
1503960366,2016-04-29 00:29:00,0.786499977111816,2016-04-29
1503960366,2016-04-29 00:30:00,0.786499977111816,2016-04-29
1503960366,2016-04-29 00:31:00,0.94379997253418,2016-04-29
1503960366,2016-04-29 00:32:00,0.94379997253418,2016-04-29
1503960366,2016-04-29 00:33:00,0.94379997253418,2016-04-29
1503960366,2016-04-29 00:34:00,0.94379997253418,2016-04-29
1503960366,2016-04-29 00:35:00,0.94379997253418,2016-04-29
1503960366,2016-04-29 00:36:00,0.94379997253418,2016-04-29
1503960366,2016-04-29 00:37:00,2.20219993591309,2016-04-29
1503960366,2016-04-29 00:38:00,2.35949993133545,2016-04-29
1503960366,2016-04-29 00:39:00,0.786499977111816,2016-04-29
1503960366,2016-04-29 00:40:00,0.786499977111816,2016-04-29
1503960366,2016-04-29 00:41:00,0.786499977111816,2016-04-29
1503960366,2016-04-29 00:42:00,0.786499977111816,2016-04-29
1503960366,2016-04-29 00:43:00,0.786499977111816,2016-04-29
1503960366,2016-04-29 00:44:00,0.786499977111816,2016-04-29
1503960366,2016-04-29 00:45:00,0.786499977111816,2016-04-29
1503960366,2016-04-29 00:46:00,0.786499977111816,2016-04-29
1503960366,2016-04-29 00:47:00,0.786499977111816,2016-04-29
1503960366,2016-04-29 00:48:00,0.786499977111816,2016-04-29
1503960366,2016-04-29 00:49:00,0.786499977111816,2016-04-29
